DSTC10TOPICAL-000000	Hmm I am not sure of that. He went to college for it?	Nope he just attended drama class in high school because that is where the pretty girls went	Hahaha the guy really knew what he was after even that early	Yes, he did. He was a good sport about it, but I felt bad for him.
DSTC10TOPICAL-001826	My son is not into sport, were he I'd have serious reservations about him playing football for that reason. I know there the fame that can go with it but an engineer is going to make more money than most	Yeah, and they have better working conditions, less injuries, it is a quite violent sport.	I understand that there are no rules against women playing in the NFL, difficult to see it happening.	That is pretty scary. It makes sense though because there is so much pressure.
DSTC10TOPICAL-001827	Yeah that is pretty short, crazy. Do you know what the highest score in a game was?	no I am not sure. I read that the average lifetime earnings of an engineer is more than nfl player	Yeah I guess that makes sense since engineers work longer. The game score was 222-0	I just assumed the astronauts were all career fighter pilots before the Space Shuttle opened things up to a wider variety of people.
DSTC10TOPICAL-001828	Hi. Do you like sports?	Hi, I do like football as in NFL football, although I am a fan of association football as well.	Me too. I like the NFL but I do also watch other leagues of football as well on occasion. Did you hear that Winston Churchill High is doing very well?	Hi are you a fan of pianos?
DSTC10TOPICAL-001829	Hi, do you like literature?	Somewhat. I know that the FDA burned 6 tons of it in an act of censorship.	That's pretty crazy. I saw there is an annual literature contest that challenges writers to come up with the worst possible opening sentence to a novel.	thats great! LOL. the tracking chips. can they track players off the field to make sure they dont go to the same restaurants as cheerleaders?
DSTC10TOPICAL-001830	I have read parts of it. I dont read it very often and I have never read it word for word.	I think that it is a very popular book. Many people have read it and tried to understand its secrets.	I dont know. I dont always take it really literally. I mainly use it as a good set of rules to live by to be a good person.	Exactly I totally agree with that. We are free to decide what we choose.
DSTC10TOPICAL-001831	Marcia Lucas did a great job making changes to George's original scripts and made the movies better	Yes you are right, I wasn't familiar with Marcia Lucas as I was with George Lucas.	I wonder how much money she made since George got to keep the licensing and merchandising rights of Star Wars	Yeah, the president's power to start wars is really scary. And there should be safeguards on the nuclear football too IMO.
DSTC10TOPICAL-001832	it doesn't list his average, it just says he hasn't been in a single movie with a fresh rating	oh man, thats sad for him. I like his movies usually	i don't recall too many of his movies, i've seen a couple and they are alright. i did like him in that 70s show!	Can you believe there is only 11 minutes of live gameplay during a game?
DSTC10TOPICAL-001833	He's the guy that fumbled every ball he ever touched.	Yeah what a career for him. Did you know NFL is sing tracking chips on the players now?	The NFL is singing tracking chips? I did not know that.	I guess football wasnt very popular back then lol
DSTC10TOPICAL-001834	Yeah the really sexist rule? it sounds really unfair, that rule should be banned and the cheerleaders should sue the team for that	I think so too. The worst part in my opinion is the fact that they have to leave mid meal if players walk in	Thats a terrible rule, I hope they change it in the near future, its humiliating actually,	The rights to a lot of those characters seems confusing. Disney does not own the rights to show "big" marvel characters  in theme parks east of the Mississippi
DSTC10TOPICAL-001835	Yeah, same here. Roosevelt and Quincy did not believe in it much either so they did not use it when they swore in	I don't think it should ever be used. How about you?	Yeah I agree, religion is a preference. Going back to football, did you know there are only 1 minutes of active game play in it?	They should to also check how their equipment is working. As athletes get bigger and faster they will need to adjust the equipment.
DSTC10TOPICAL-001836	No but I did see a video of Kayne giving his mic to a fan in a wheel chair before	That was pretty cool of him to do that. Sometimes he has some different views on things. Like for example he believes that aids is a man-made disease.	Maybe Big Sean can explain that to him since he had a 3.7 gpa before signing with Kayne	No I don't, I have cable, mostly to watch and record live sports programs. I do find myself still flipping through channels sometimes though. I found this awesome 2 hr program about the beginnings of the American circus which was awesome!
DSTC10TOPICAL-001837	Yes, I do. And, I believe that the Bible is an intricate inspiration from God to us humans here on earth. How about you, do you believe it's really from God?	I do not know. I have not read the Bible. I know that the person that wrote it probably made money on it.	I'm not sure about that but everyone has the choice to believe whatever they want to believe. All I know is that it's estimated that it has sold over 5 billion copies and is the best-selling book every written.	yea, Im 35 right now... I couldn't imagine sleeping 12 years of that. No wonder cats are considered lazy lol
DSTC10TOPICAL-001838	I would love to hear that and the style they use! Do you think Abe Lincoln liked jazz?	I don't know, he did have a high pitch voice	So he would have liked other music, I never knew that. I know he was in the wrestling hall of fame, that is a good honor	i love music. what kind of music do you like?
DSTC10TOPICAL-001839	Actually if you turn it to am you can catch Jupiter's storms	Those are some strong storms! Considering how many artists are from Canada, I wouldn't mind tuning into stations that have to play at least 40% Canadian music by law	Yes very true. do you know how soldiers used to make radios during WWII?	Oh sure it is avocado and I am not surprised he eats very healthy all the time
DSTC10TOPICAL-001840	Do you like football?	I do. I played in HS and I'm a Chiefs fan... I actually like college better than the NFL.	Nice. I'm not too into football, I guess because each game has only on average 11 minutes of live gameplay.	Do you know who Tom Brady is? he sure has an interesting way to see the sport.
DSTC10TOPICAL-001841	I know that has certainly changed. And even now though engineers make more money over their lifetime.	Georgia tech beat Cumberland 222-0 back in 1916. What color do you think their visiting locker was?	Well, maybe it was something worse than pink. That is a huge defeat, wow. Did you hear about that strange rule for the New Orleans cheerleaders?	I don't even know who he is. Or if he should be weighing in on this
DSTC10TOPICAL-001842	Yeah and they have to leave mid meal. That rule is sexist and has to go	Agreed on that. Do you know much about the Bible?	I know that is it one of the most influential books and has sold over 5 billion copies	I haven't, I think a lot of people haven't seen it is because it's broadcasted on Facebook Watch, do you use that feature of Facebook?
DSTC10TOPICAL-001843	Hi, how are you?	Good, and you? I haven't seen any superhero movies in a long time, but I think I saw a brief portion of Iron Man once on a TV that was going at my job.	Really! I feel like all the movies coming out now, like 25% are super hero movies. Do you not enjoy them?	The tech for viewing planets has had benefits in other areas. A critical step in creation of wi-fi was a byproduct of research into improving astronomy
DSTC10TOPICAL-001844	If you want a job that makes more in a lifetime than an average nfl player or mlb player you can become an engineer	I saw that, it is probably because there a bunch of players that last only a year or so. I'm not surprised, engineers make a lot of money.	If you were a bowler in the 1960's you could have made twice as much as top football stars too.	I am probably more interested in all the innovation like World War II soldiers were able to construct a working radio with just a pencil and switchblade.
DSTC10TOPICAL-001845	That is pretty neat. I bet it is pretty diverse.	Yeah. They must have comics from all over the world	Probably a lot of older comics too. That would be neat to see the development of comics.	You mean he has never even seen the films right? I heard that.
DSTC10TOPICAL-001846	Yes I agree. I would like to know more about that. Up until 1805 the runner up automatically became the vice president. Kind of makes sense but it would never work now!	NO it would not. The parties hate each other too much for that to ever work	I wish they didn't. Just so much more productive to work together. I wonder who has stayed in the presidents guest house? It is actually bigger than the White House.	Morena Baccarin from deadpool is gideon's voice in flash
DSTC10TOPICAL-001847	He could have had some unusual moves. LOL	The ability to moon walk!	Or to lean way back or forward. LOL	Possibly. The Bible has been used by many people for many things, not all of them good. The book is not the laiety.
DSTC10TOPICAL-001848	Oh that is interesting since those are usually considered to be associated with peace.	yeah. I hear if you publish a book in Norway the government buys 1000 to donate to libraries.	That sounds pretty generous!	Yea that's pretty amazing, it takes a lot of talent to make a depressing poem inspiring when read backwards
DSTC10TOPICAL-001849	If you fly to mars under constant 1g acceleration it will only take 2 or 3 days. I thought it took a lot longer.	Me too! Movies make them seem longer, but they might be going much much slower for airtime lol.	That is true. Have you heard about the lost satellite on mars?	I did not know that! Good chatting with you!
DSTC10TOPICAL-001850	Bye!	The president is the title given to the head of the government.	That's true I think it's called different things in different places though right?	That's crazy! Did they just not have enough time to shoot? I think that's by Tomas Alfredson, no? He's had some decent movies before
DSTC10TOPICAL-001851	I'm doing good too. Glad it's Friday. I watch both baseball and football. What about you?	Me too, but I guess in my childhood and college years I was watching much often. I didn't know that 14 of the world's 25 largest stadiums belong to American college football teams. Did you know that?	I did not know that. The University of Iowa's lock room for visiting teams is painted in all pink.	Yeah i get that but give me the 10-15 and i'm out not the 40-50, you know! So do you know how long a regular season last?
DSTC10TOPICAL-001852	Yes as long as they meet the league's eligibility requirements they can play! I would like to see a girl play.	They cannot eat in the same place as the players, at least the Saints cheerleaders.	That is a weird rule. How did they enforce the rules of the cheerleaders being required to leave?	The film I felt he really earned an Oscar for was Jerry Maguire. So memorable. Do you agree?
DSTC10TOPICAL-001853	Who isn't?	I think some of the newer movies are redundant to be honest.	Really? Like which ones?	This weekend. My favorite team, the Raven's, plan on Sunday.
DSTC10TOPICAL-001854	Yeah and they have cancelled 100 shows since they came to be in 1989	I guess that is not a lot considering how long they have been around	That is true actually. Do you know the programming language Python?	12 is his number that he wears for the Patriots.
DSTC10TOPICAL-001855	I mean I don't think kids should play past midnight but to make it a law is ridiculous	Yeah, that is pretty absurd. Did you know nintendo produced a lego knock off?	No, I did know they made playing cards though	Speaking of superheros and all that.. did you know that Stan Lee (RIP) wrote 15 DC comics? I never knew he'd ever written for DC...
DSTC10TOPICAL-001856	Nice, that's what I do. Did you know there is only 11 minutes of gameplay per game?	Wow, it seems like a lot more but it is a pretty slow game. That sounds like an awfully small amount of time. Kinda like it's hard to believe that an engineer makes more money in their lifetime than an	Yeah, for sure, they stand around a real lot.	That's incredible how they do that with the chips. They also have them in the footballs to track velocity, etc.
DSTC10TOPICAL-001857	Fans also felt though that in previous movies Hawkeye has not been given justice.	True, I heard that too. I can't say because I havent seen the movie. But I do enjoy the Marvel Comic films.	Yeah, I like the Marvel Comics series that they have on Netflix.	Thats awesome! There are so few female directors!
DSTC10TOPICAL-001858	Hi. How are you?	I'm doing well how are you! ?	I am good too.	It really has. I have not followed it much but there are at least 1/2 dozen movies. its amazing Sony rejected buying the rights from Marvel for 25 million. They really missed an opportunity of a lifetime!
DSTC10TOPICAL-001859	What? That is a strange fact. I guess she had a chance to do the voice work. She is a celebrity, after all.	Did you ever play tennis? serena has been playing since she was 13, which is about when I started playing, but she's obviously way better LOL	I assumed that she started sooner. She must have picked it up quick. I didn't real play. Anyway, great chat! Thanks!	Seems creepy to me. Big brother watching your every step...
DSTC10TOPICAL-001860	I have a passing knowledge of football and watch it occasionally as well	What teams do you like	I like the new England patriots. They are like the Lannisters of football	Yeah, well the average NFL player makes less than an engineer over the course of their life.
DSTC10TOPICAL-001861	Hi! Yes, I really enjoy watching football, both collegiate and professional. Do you?	Yes, me too. I didn't know that the highest score in a football was 222-0 and it happened in 1916. Did you know that?	That's insane! Either the team was really good or the other team was really good. Or maybe they were on strike about their pay since it seems like they don't make a lot.	Lol. But ya I hope they use it to lower the rate of physical injuries and concussions.
DSTC10TOPICAL-001862	If I were on the losing side I think I would have given up playing. Maybe they could have turned to the bible.	Maybe. At least Cumberland probably didn't have a pink locker room like that of U. of Iowa. In 1916, they probably didn't have a locker room at all.	I don't think they went in for those silly games back then, probably more respectful to the other team.	Wow, I didn't know that either. It was great talking to you!
DSTC10TOPICAL-001863	Hi there, do you watch the NFL?	Hi! Yes I do sometimes. What's your favorite team?	I think the Patriots, I like them best. One of their former QB never fumbled a ball in his career. How about you?	That's cool I didn't know they were on Netflix.
DSTC10TOPICAL-001864	Hello, are you by any chance a fan of the New England Patriots football team?	I know some about them. Mostly stuff about Tom Brady	Great. What do you think of his record as a QB?	No, how?
DSTC10TOPICAL-001865	That's interesting, and kind of interesting thing NOT to do regularly.	I don't know how many Navajo fans there are. George never won an Oscar though.	that's sad considering how amazing his movies were	Wow! There is also a website where you can listen to thousands upon thousands of classical radio dramas. All for free!
DSTC10TOPICAL-001866	Yes, she is a talented actress. I bet she did a great job. Anyway, thanks for the chat.	It has a solid cast overall. Hope you get to catch it some time.	Have a good day! Talk to you soon, Im sure.	I agree. It dose not flow very well
DSTC10TOPICAL-001867	I'm sure if they do they will have tracking chips on their shoulder pads like they do now so they can record every move on the field.	That seems bit invasive but I guess all kinds of stats are taken out of those chips	Yes. They even have chips in the footballs to track velocity, etc. Getting a little too technical I think for a sport.	Yes he does have a lot of great qualities. I saw an interview where someone attempted to speak Portugese to him that did not speak it naturally. He chastised the other reporters for making fun of that person's attempt.
DSTC10TOPICAL-001868	Hello, do you like Disney?	Yes, I do like Disney. They have done many great films and have some great theme parks.	Do you know the original Disney is in California and not Florida?	Apparently people fantasy draft it too!
DSTC10TOPICAL-001869	Hi. Do you watch football?	yes well I did watch the superbowl but I don't watch it regularly no, what about you	Sometimes, but not every week. I would get bored watching for 17 weeks straight during the regular season and then the playoffs and Super Bowl.	I would have taken 5%! Can you imaine being that rich? I bet he's not doing HITs.
DSTC10TOPICAL-001870	Right. Did you know the guest house is larger than the white house	Yeah that is pretty cool, they must get a lot of people there so maybe that is why	Yeah. Have you heard the president of Indonesia is a pop star?	Yea, the ending to Return of the Jedi was good but I found the other parts boring
DSTC10TOPICAL-001871	That was the culture then. People loved bowling. Oh, I was born at the wrong time.	Yeah it seems it was the case back then. DO you know what the highest score in college football is?	The highest score means little to me unless I could win money. What was it though?	I know, that is really impressive! I bet only a few players have accomplished that, maybe he is the only one, did you know that ESPN won an emmy because of the creation of the first down line
DSTC10TOPICAL-001872	I'm not sure. Who was it?	It was Georgia tech who scored 222 against Cumberland 0	Holy smokes! I bet that was a long game for Cumberland. In the 1960's bowlers made twice as much as the top football stars.	Hey, I'm doing good. How are you? Do you watch any sport like football or baseball?
DSTC10TOPICAL-001873	hi there, do you watch the NFL?	I sure do. Do you have a favorite team or player?	I sure do. I love the Patriot and Tom is amazing. Do you have one?	yes they are! Geez... wreck it ralph development started back in the 80s
DSTC10TOPICAL-001874	Yeah I think the highest paid people in most states are college coaches.	Not sure how I feel about that. I have to send two kids through college one day, with the high cost of college I'm not sure I want a portion going to the football coach.	Yeah its pretty crazy to me just how much it costs to attend college these days.	Yes! I love lego even though my last set came with a defective piece. The odds are so slim since only 18 out of every million are defective.
DSTC10TOPICAL-001875	Absolutely. It's the next on my list.	Have you watched any of the other Marvel movies?	I'm not normally much of a comics or superhero person. Have you?	Yeah Bret was something else. Still they didn't have any one like Benjarvus who never fumbled the ball his entire career.
DSTC10TOPICAL-001876	Interesting, have you ever seen house?	I have seen it, great drama tv series	Apparently Hugh Laurie was making $700k an episode! !	It cannot. Then everyone would do it if it did. The pink is cute but useless.
DSTC10TOPICAL-001877	I bet you they do it for both. They need to track lots of stats like velocity and rotation and such and they will likely need the averages of those	We live in amazing times. I can see where that would be useful. If a running back is getting tire during the game they know right away	Yeah we sure do. Did you know women can play too in the NFL?	I figure they would let that Jefferson one in the schools. Too bad.
DSTC10TOPICAL-001878	There are a lot who play on high school teams, so if they meet the requirements, why not?	Yeah, but the average earning potential salary of an engineer is higher	lol Bowlers in the 60's made more than football players. THAT is hilarious.	He probably has enough money to do whatever he wants
DSTC10TOPICAL-001879	True, I guess we'll never know. It was great talking with you though, have a good one!	It was nice chatting with you too.	You as well, I hope you have a good rest of the evening, I'll try not to think about the depths of space that much !	Same here,  I am going to be looking at ingredients all the time now! Who thought it was a good idea to use crushed bugs in our food and why did it get approved, ugh
DSTC10TOPICAL-001880	I watched the series, but didn't play the game. Do you know Nintendo is over 100 years old?	I didnt know its over 100 years old, I wonder how the games from that time look like.	Well, they started out as a playing card company.	I have read the Bible and have not found the answers to the questions that I had about football.
DSTC10TOPICAL-001881	You would think! I heard even 1960's top bowlers made twice as much as football stars!	I believe that. Bowling was a big sport back in the day. Football players didnt have the players union back then so they didnt make nearly what they deserved. I would say now it is a little over the top	I agree. Especially if you are like the patriots benjarvus green-ellis who never even fumbled one game in his nfl career.	Yeah I don't think you are alone there. I guess the symbols and written script in the movie were based on actual script dating back to the 4th century!
DSTC10TOPICAL-001882	That would be Jupiter's moon? I wonder if Jupiter is one of the five planets visible to the naked eye.	I would guess from it size it is	The planet Venus is the only planet that rotates clockwise and has no seasons. That seems boring.	Hi
DSTC10TOPICAL-001883	I've been a bigger fan in the past. I was a Caps fan growing up.	I am a Caps fan too! Do you know how much a player loses weight per game?	Like 8 pounds. I assume that's mostly sweat.	I like college ball better. It probably has 16 minutes with 40 percent more plays. Nice chatting!
DSTC10TOPICAL-001884	Yes it is, so that much mean that he was thinking about this movie for 11 years?	That is impressive. That makes a great actor.	Yes it does, are you a fan of comic books, if you are, how many books do you have?	Yeah, Leo is great. I hear he was in that sitcom called Growing Pains but I didn't catch it. What's Eating Gilbert Grape was a good one he was in, too.
DSTC10TOPICAL-001885	No I don't but curious	I never have either, do you / did you play any of the sports we talked about?	I have always been a soccer person	Most women have better things to do with their time than play a game, it is lucritive though, amazing how times change, in the 1960's top bowlers made more than football players.
DSTC10TOPICAL-001886	300 of them? that sounds impressive and too bad, maybe his manuscript is really good, he could have been a rich man,	Oh for sure! Do you like science at all?	I do like science, I think that scientists make big contributions to society, they make human kind better and smarter.	ya he did, and he also gave a speech, got shot in the chest, and then continued giving the speech haha
DSTC10TOPICAL-001887	It amazes me that a hockey player was once traded for a dollar	He must have been worth less than that to the trading team. Maybe they were paying him too much already. Do you play hockey?	I do not, but many Canadians do, since both hockey and lacrosse are their national sport.	I've never heard about that ! Good for ESPN ;) Hey, it was really nice chatting with You !
DSTC10TOPICAL-001888	Wow. I never knew that.	Yah, did you know the other word for telephone is a phone?	Yes. I knew that one.	Haha, not sure. It's interesting how much Americans love football now. In the 60s top bowlers made twice as much as top football stars.
DSTC10TOPICAL-001889	Yeah I know he has won a few games there. Did you know he was picked 19th back in the 2000 NFL draft?	I did not! He's been around for a while, I'm surprised he hasn't retired yet. His history as a football player is impressive. Been to the super bowl 8 times with the patriots.	Yeah he sure has, I don't think he will retire for at least two more seasons.	Yes I do and unfortunately the Chiefs are playing The Pat's this sunday!
DSTC10TOPICAL-001890	No I never been to Texas yet but that's pretty crazy	Yeah it is right? And it cost $60 million and on top of all , it is just a high school stadium	They do love football in Texas, too bad they don't care as much about education, an average engineer makes more in a lifetime than the average NFL player	I didn't know that. Yikes. I had fun chatting with you today! Hope the rest of your day is great!
DSTC10TOPICAL-001891	That is something. the lost 222-0. That is crazy !	What is wrong is how the cheerleaders cant eat with the players	Yeah the have to leave when they come in. I will research why	I heard that! I also heard they have a dung smearing scene that's been left out of those dinosaur movies. I can't say it was a mistake...
DSTC10TOPICAL-001892	Yeah I guess the career of a football player does not last that long so they do not have much time to make money	True, I did not think about that, do you know how we are able to learn about interesting statistics like ball speed. ball rotation and players performance?	Yeah that is actually pretty cool, they are using tracking chips on the shoulder pads of the players now.	Actually, I haven't but I have read the original novel by Madeleine L'Engle way back when I was in elementary school.
DSTC10TOPICAL-001893	Hello! Do you like Football?	I do. Do you?	Of course! What's your favorite team. Mine is the New England Patriots, the Lannisters of the NFL!	I think that it is a very popular book. Many people have read it and tried to understand its secrets.
DSTC10TOPICAL-001894	Maybe they can even see how long games are since they think only about 11 minutes are live gameplay!	No kidding, right? I mean, these engineers already make more than the average lifetime earnings of both MLB and NFL players, so they should step their game up... even though they are doing a phenomenal job now.	That stat actually surprises me with how much football players work! Did you know that in the 60s even top bowlers made more than football players? !	It was. It was a running back by the name of Benjarvus Green Ellis.
DSTC10TOPICAL-001895	Yes thats really something	Any other movies, books, or shows that you are into?	I liked the lost series on tv	I love Tom Brady, his the best player of the NFL histoy in my opinion
DSTC10TOPICAL-001896	But even today, NFL players don't make as much on average as I would think. Engineers earn more over a lifetime.	Yes, and it's interesting to consider the lifetime career of a football player. Some use their background to transition to other fields such as coaching, or use the income to start a new career after they retire. Sadly, others suffer	It's amazing how much technology is used in the NFL these days	Yeah. The playoffs were nerve wrecking to me due to fumbles and such. Did you know there is a player who never fumbled the ball his whole career?
DSTC10TOPICAL-001897	That is impressive. That makes a great actor.	Yes it does, are you a fan of comic books, if you are, how many books do you have?	I am not. But appears that their is a lot of money in the industry.	True, I heard that too. I can't say because I havent seen the movie. But I do enjoy the Marvel Comic films.
DSTC10TOPICAL-001898	I know that it is the best selling book of all time with total sales of over 5 billion copies!	Yeah that seems a lot. Jefferson apparently made his own version of the Bible	I didn't know that. Teddy Roosevelt and John Quincy Adams were the only 2 U.S. presidents who didn't use the bible when they were sworn in.	Oh, you're talking about that song Come Together, right? T
DSTC10TOPICAL-001899	Perhaps a combination of the winning team being just that good and the losing team being so bad	Ive seen some blow outs, but never by that much.	Did you every play fantasy football?	I know. I feel like you learn that in middle school though.
DSTC10TOPICAL-001900	I noticed that. I've heard of some weird ideas for sports, but that's out there. On the subject of shoes, my old work boots have lasted me about 6 years but it's about time to get some new ones at	I think I have 2 pairs of shoes. It's crazy there is 5000 year old shoes that perform better than modern shoes	I'm not surprised, considering how much stuff today is deliberately designed to fall apart so you have to buy more. Sounds like you've got about as many shoes as I do.	I guess we may never know. the PM of the UK during WWI is the great-grandfather of the actress Helena Bonham Carter. She was in the Harry Potter movies
DSTC10TOPICAL-001901	That's a good point that I never thought about. What is also interesting to me is that an NFL game only has about 10 or 11 minutes to it that seems super low.	Yeah, that makes sense, it is mostly standing around if you ask me. I still love the game, but the clock watching gets annoying.	Yep I agree with that. Do you watch any fantasy movies. Or do you do fantasy football at all	no they don't. One show did and that was the office. So amazing. ANother was thomas the train, ever see that one?
DSTC10TOPICAL-001902	Maybe so. I hope the data they are collecting in the field though can somehow be used to make the game a little bit safer	Amazing that a game which averages just over 10 minutes of actual gameplay can be so damaging to players.	Great point. Do you know what the highest score recorded in a game was?	LOL I did too. I'm pretty sure we've had every Nintendo system that has come out.
DSTC10TOPICAL-001903	no way! I would love to learn that. Were you into the beatles much?	I loved them as a kid. I was not born when they formed in 1960	I wasn't either, they were amazing and still are. They couldn't even read music which is so interesting!	I know, so strange. Did you know engineers make more money than NFL players in their lifetime?
DSTC10TOPICAL-001904	I would guess that has something to do with breast cancer awareness. I know that many football players suffer from breast cancer in the later years.	I never thought of it that way, that's an interesting perspective. Tell me why you like soccer.	It is a good game for women. I think women fight harder on the pitch than men do.	Yeah if only Michael had not insisted on bringing his llama to the studio
DSTC10TOPICAL-001905	Crazy. Take care.	Thank you. You too.	:)	Oh, yes. I agree. Do you watch Game of Thrones? I feel like that could be considered a fantasy genre as well.
DSTC10TOPICAL-001906	I'm fine. Thanks for asking and you?	I am fine too	Do you like watching movies?	Yeah it was! Thats why i always stuck with nintendo games. Much more friendly
DSTC10TOPICAL-001907	Yeah so sad. In Texas on the other hand they are voting to rename the garbage dump	Hahha so funny. In the UK not all men could vote until 1918	I wonder what prevented them from doing, maybe class and ranking in society	Sure. He is one of the best, he embodies the Patriot Way with his prep and will to win.
DSTC10TOPICAL-001908	That's right. Did you know that presidents have different functions depending on the type of government?	Yes I remember learning that I think. Its been good talking to you.	It's been good talking to you as well.	Hey! Do watch football?
DSTC10TOPICAL-001909	Yeah the same one, expensive but it must be alien proof	He must have the money despite the fact that Seinfeld has a higher net worth	He does? Well Tom Cruise will eventually come on top, he has a lot more movies planned in the future. I don't know about Seinfeld.	Oh that's cool. I used to work at a game store, so I have several old-school systems, including an Atari. We had a Commodore 64 in the store once, and I should've bought it when I had the chance. Sadly, I've never gotten to play one. I'm not very good at video games either. I guess I'm more of a collector than a serious gamer. They're a good way to relax when I have time. Also, I just found out that apparently playing Tetris can help people with addictions. I'm going to share that information with my roommate, who's a smoker. Unfortunately, I can't bring my Game Boy to work, so it probably can't help with my soda addiction.
DSTC10TOPICAL-001910	Yeah I don't know how that would go, but they should be allowed if they are good enough, I'm an engineer and I guess I make more in my lifetime than an average NFL player makes, cool!	lol, really. Oh yeah, the average lifetime earning is higher than the average NFL player!	yup good to know haha, do you like the Saints? I don't like how they treat their cheer leaders	I wonder if they have any pictures of aliens on them, lol. Did you know bullets hit the white house?
DSTC10TOPICAL-001911	Yeah I was wandering about that as well. How about radio dramas, do you like those?	I don't like dramas in general so probably not.	I see, because if you did there is a free radio to listen to them to	It probably doesn't matter. They can always do prequels, or sequels that bring the character back to life. I know so little I can't even guess.
DSTC10TOPICAL-001912	The guy is a legend, he has ever fumbled the ball in his career	Exactly. Do you know what the highest score in college football is?	Yes I feel bad for Cumberland to lose 222-0 from Georgia Tech	For sure. I'd rather wear the aloha shirt than a suit and tie any day.
DSTC10TOPICAL-001913	hope so too. now they are using tracking chips on the players	That's pretty cool, they can find out how hard a player hits and moves with those chips	yes, very handy. do you know what the highest score is in football history?	I would think money has a big factor and maybe proving something, but I imagine they must meet at least the physical requirements to withstand the impact of a 300 pound linebacker, you think female NFL players gear would be any different?
DSTC10TOPICAL-001914	Oh, your explanation is making so much sense. Thank you.	There is a lot of technical data, like the area code 212 was chosen because it was easier to dial on a rotary phone.	That fact to me is reasonable because New York was one of the earliest established cities in the U.S history.	Well based on the information I've read it doesn't look good.
DSTC10TOPICAL-001915	Yes a lot. Do you know how much a single search takes in terms of power?	Yes more than in took to take Armstrong and 11 others to the moon	Yes. Do you know how they calculate traffic?	I have no idea. Madame Web? Don't know.
DSTC10TOPICAL-001916	Maybe, Bill Nye had to add more effect with more science experiments to create flubber.	Freeman has served narrator, commentator for numerous programs and television shows.	Well, he was nominated and won a lot of rewards.	Yes, those are serious crimes, and the involvement with Russia really bothers me. the cold war is not over.
DSTC10TOPICAL-001917	I don't think they went in for those silly games back then, probably more respectful to the other team.	Probably... Did you know the NFL had no written rule that women can't play?	They probably think they don't need it. Some guys get worked up if they hear a woman is going to take part in something, but if they are good enough and want to do it let them.	Yes it was 222-0 and Georgia Tech totally crushed Cumberland
DSTC10TOPICAL-001918	Yeah exactly. Did you know ESPN won and Emmy once?	It was for the superimposed yellow line and I think they deserved it	Yup. DO you know much about the Bible?	Oh yeah, that was a nasty one too. There have been way too many injuries this year
DSTC10TOPICAL-001919	Yes they are collecting information such as velocity and rotation and a bunch others, Wonder what for though.	I hope they can somehow use them to make the game safer and decrease the number of concussions	That would be amazing. On another topic, do you know anything about the Bible?	That was really nice. You never hear about that type of altruism in pop culture. Usually just the bad stuff. That's really nice.
DSTC10TOPICAL-001920	Are you a Star Wars fan?	Yes, star wars is great. i really like the original trilogy.	Me too, that was the best out of all the movies, and basically the only ones I watched. It made George Lucas a billionaire	big time, its almost seen as a punchline these days
DSTC10TOPICAL-001921	I sure do. Did you know Jon Hamm taught drama in a high school?	Cool. Did you ever watch the show House MD?	Yeah and he even taught Ellie Kemper, she is so funny. Yeah I watch House	That's upsetting. I did hear about that. What really disgusts me is that is the cheerleader was there first and is already eating, she has to stop eating and leave. That makes me very angry. What's the point in that?
DSTC10TOPICAL-001922	Are you a Star Wars fan?	yes, i really like the original trilogy. You?	Me too, it was so good! George Lucas became a billionaire because of it	I will have to look into him. I do not remember the name. Speaking of the Patriots, did you know that George RR Martin called them the Lannisters of the NFL? I don't see that as being a compliment ha ha.
DSTC10TOPICAL-001923	Are you religious?	yes. fairly so	Did you know that Thomas Jefferson had created his own version of the bible so he could remove the supernatural parts. Thats wild.	For sure, it would generate a lot of dispute so anyway do you like how Chris Pratt acts?
DSTC10TOPICAL-001924	WOw that is interesting for a radio. Do you listen to radio dramas?	I do not really, are they good? Maybe I should check them out	Well there is a free website of them if you would like to check it out	Oh that is so cool, I would have never guessed that. I guess they were invented when those watches were around
DSTC10TOPICAL-001925	That is a lot of money! Did you know that 20th Century Fox agreed to forgo a $500k directing fee to let Lucas keep the licensing and merchandise rights?	I wonder how they feel about that now. Lucas pulled one over on them. The entire franchise is estimated to be $65 billion dollars!	I know! It has cost them billions and made Lucas himself a billionaire.	I haven't watched the film at all. I'll have to go check it out right now. Have a good day!
DSTC10TOPICAL-001926	Really? Haha, not sure if that worked! Marvel comic toys are expensive.	Not sure but it just increases the profit margin for the company haha.	True! I am going to have to watch this Infinity War movie now lol, curious about this Hawkeye character. Although he has been in other Marvel films.	You heard of the electronic music group The Thievery Corporation? theyre starting to blow up apparently
DSTC10TOPICAL-001927	Yes! I heard that many people were actually rooting against Brady's team, because they're kind of over them winning all the time. He sure works hard though, it seems.	I think so, too. But there are other good players as well. I guess RB Benjarvus Green-Ellis has never fumbled the football in his NFL career.	Pretty impressive. I know they get paid a lot for those skills, but did you realize that top bowlers in the 60's made twice as much as football stars then?	I sometimes watch. Usually about the Superbowl. What about you?
DSTC10TOPICAL-001928	Oh that makes so much sense. Do you know why Caine became an actor?	Hmm I am not sure of that. He went to college for it?	Nope he just attended drama class in high school because that is where the pretty girls went	You do the same.
